Linux 3.10.0-229.4.2.el7.x86_64 (d01enspbsedb1) 	07/13/16 	_x86_64_	(2 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:20:01          1      0.29      0.00      0.11      0.03      0.00      0.00      0.01      0.00      0.00     99.57
09:30:01        all      0.33      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.54
09:30:01          0      0.39      0.00      0.12      0.00      0.00      0.00      0.01      0.00      0.00     99.48
09:30:01          1      0.27      0.00      0.10      0.02      0.00      0.00      0.01      0.00      0.00     99.60
09:40:01        all      0.32      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.55
09:40:01          0      0.33      0.00      0.12      0.00      0.00      0.00      0.01      0.00      0.00     99.54
09:40:01          1      0.31      0.00      0.11      0.02      0.00      0.00      0.01      0.00      0.00     99.55
09:50:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
09:50:01          0      0.29      0.00      0.11      0.00      0.00      0.00      0.01      0.00      0.00     99.60
09:50:01          1      0.34      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.52
10:00:01        all      0.31      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.56
10:00:01          0      0.34      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.54
10:00:01          1      0.28      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.58
10:10:01        all      0.32      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.54
10:10:01          0      0.32      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.55
10:10:01          1      0.33      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.53
10:20:01        all      0.32      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
10:20:01          0      0.29      0.00      0.11      0.00      0.00      0.00      0.01      0.00      0.00     99.59
10:20:01          1      0.34      0.00      0.11      0.02      0.00      0.00      0.01      0.00      0.00     99.52
10:30:01        all      0.31      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.55
10:30:01          0      0.35      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.52
10:30:01          1      0.28      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.58
10:40:01        all      0.31      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.57
10:40:01          0      0.35      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.52
10:40:01          1      0.26      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.61
10:50:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
10:50:01          0      0.31      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.56
10:50:01          1      0.30      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
11:00:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
11:00:01          0      0.30      0.00      0.11      0.00      0.00      0.00      0.01      0.00      0.00     99.58
11:00:01          1      0.32      0.00      0.10      0.02      0.00      0.00      0.01      0.00      0.00     99.56
11:10:01        all      0.32      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.55
11:10:01          0      0.32      0.00      0.12      0.00      0.00      0.00      0.01      0.00      0.00     99.55
11:10:01          1      0.31      0.00      0.11      0.02      0.00      0.00      0.01      0.00      0.00     99.56
11:20:01        all      0.32      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.55
11:20:01          0      0.36      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.51
11:20:01          1      0.29      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.58
11:30:01        all      0.31      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.56
11:30:01          0      0.38      0.00      0.13      0.01      0.00      0.00      0.01      0.00      0.00     99.48
11:30:01          1      0.25      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.63
11:40:01        all      0.30      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.58
11:40:01          0      0.27      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.61
11:40:01          1      0.32      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.54
11:50:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
11:50:01          0      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.55
11:50:01          1      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
12:00:01        all      0.37      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.51
12:00:01          0      0.32      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.56
12:00:01          1      0.41      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.46
12:10:01        all      0.32      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.54
12:10:01          0      0.35      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.52
12:10:01          1      0.29      0.00      0.13      0.01      0.00      0.00      0.01      0.00      0.00     99.57
12:20:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
12:20:01          0      0.36      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.52
12:20:01          1      0.26      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.61
12:30:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
12:30:01          0      0.34      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.54
12:30:01          1      0.27      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.60
12:40:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
12:40:01          0      0.29      0.00      0.11      0.00      0.00      0.00      0.01      0.00      0.00     99.59
12:40:01          1      0.33      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.55
12:50:01        all      0.34      0.00      0.11      0.02      0.00      0.00      0.01      0.00      0.00     99.53
12:50:01          0      0.31      0.00      0.12      0.01      0.00      0.00      0.00      0.00      0.00     99.56
12:50:01          1      0.37      0.00      0.10      0.03      0.00      0.00      0.01      0.00      0.00     99.50
13:00:01        all      0.46      0.00      0.22      0.04      0.00      0.00      0.01      0.00      0.00     99.28
13:00:01          0      0.45      0.00      0.22      0.01      0.00      0.00      0.01      0.00      0.00     99.31
13:00:01          1      0.47      0.00      0.23      0.06      0.00      0.00      0.01      0.00      0.00     99.24
13:10:02        all      0.48      0.00      0.49      0.10      0.00      0.00      0.01      0.00      0.00     98.92
13:10:02          0      0.46      0.00      0.46      0.08      0.00      0.00      0.01      0.00      0.00     98.99
13:10:02          1      0.50      0.00      0.51      0.11      0.00      0.00      0.02      0.00      0.00     98.86
13:20:01        all      0.52      0.00      0.83      0.26      0.00      0.00      0.02      0.00      0.00     98.37
13:20:01          0      0.50      0.00      0.91      0.12      0.00      0.00      0.01      0.00      0.00     98.46
13:20:01          1      0.54      0.00      0.75      0.40      0.00      0.00      0.03      0.00      0.00     98.28
13:30:01        all      0.50      0.00      6.09      0.57      0.00      0.00      0.04      0.00      0.00     92.80
13:30:01          0      0.49      0.00      8.40      0.34      0.00      0.00      0.01      0.00      0.00     90.76
13:30:01          1      0.51      0.00      3.78      0.80      0.00      0.00      0.06      0.00      0.00     94.84
13:40:01        all      0.53      0.00      7.60      0.67      0.00      0.00      0.05      0.00      0.00     91.16
13:40:01          0      0.51      0.00      7.52      0.43      0.00      0.00      0.02      0.00      0.00     91.51
13:40:01          1      0.54      0.00      7.67      0.90      0.00      0.00      0.07      0.00      0.00     90.81
13:50:02        all      0.68      0.00     17.83      1.77      0.00      0.00      0.09      0.00      0.00     79.63
13:50:02          0      0.75      0.00     16.09      1.68      0.00      0.00      0.05      0.00      0.00     81.43
13:50:02          1      0.61      0.00     19.57      1.85      0.00      0.00      0.14      0.00      0.00     77.83
14:00:13        all      0.45      0.00     76.80      2.07      0.00      0.00      0.15      0.00      0.00     20.53
14:00:13          0      0.46      0.00     76.20      2.08      0.00      0.00      0.06      0.00      0.00     21.21
14:00:13          1      0.45      0.00     77.41      2.06      0.00      0.00      0.24      0.00      0.00     19.85
14:10:08        all      0.32      0.00     83.06      2.61      0.00      0.00      0.15      0.00      0.00     13.87
14:10:08          0      0.30      0.00     83.50      2.69      0.00      0.00      0.04      0.00      0.00     13.46
14:10:08          1      0.34      0.00     82.60      2.52      0.00      0.00      0.26      0.00      0.00     14.27
14:20:11        all      0.29      0.00     82.35      2.82      0.00      0.00      0.17      0.00      0.00     14.36
14:20:11          0      0.28      0.00     81.61      3.01      0.00      0.00      0.04      0.00      0.00     15.06
14:20:11          1      0.31      0.00     83.09      2.63      0.00      0.00      0.30      0.00      0.00     13.67

14:20:11        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
14:30:11        all      0.37      0.00     82.09      4.16      0.00      0.00      0.22      0.00      0.00     13.17
14:30:11          0      0.32      0.00     82.08      4.08      0.00      0.00      0.05      0.00      0.00     13.47
14:30:11          1      0.41      0.00     82.09      4.25      0.00      0.00      0.38      0.00      0.00     12.87
14:40:07        all      0.34      0.00     80.24      5.41      0.00      0.00      0.21      0.00      0.00     13.81
14:40:07          0      0.32      0.00     80.65      5.34      0.00      0.00      0.05      0.00      0.00     13.64
14:40:07          1      0.35      0.00     79.82      5.48      0.00      0.00      0.37      0.00      0.00     13.97
14:57:05        all      0.47      0.00     77.51     15.93      0.00      0.00      2.11      0.00      0.00      3.99
14:57:05          0      0.41      0.00     79.33     16.29      0.00      0.00      0.05      0.00      0.00      3.93
14:57:05          1      0.52      0.00     75.69     15.57      0.00      0.00      4.18      0.00      0.00      4.05
15:12:14        all      0.34      0.00     78.42     18.75      0.00      0.00      2.47      0.00      0.00      0.02
15:12:14          0      0.31      0.00     80.49     19.15      0.00      0.00      0.04      0.00      0.00      0.01
15:12:14          1      0.37      0.00     76.34     18.36      0.00      0.00      4.91      0.00      0.00      0.02
15:16:57        all      0.39      0.00     69.00     28.38      0.00      0.00      2.11      0.00      0.00      0.11
15:16:57          0      0.37      0.00     70.69     28.79      0.00      0.00      0.05      0.00      0.00      0.10
15:16:57          1      0.41      0.00     67.31     27.98      0.00      0.00      4.17      0.00      0.00      0.13
15:28:37        all      0.34      0.00     76.65     20.53      0.00      0.00      2.43      0.00      0.00      0.05
15:28:37          0      0.30      0.00     78.56     21.04      0.00      0.00      0.04      0.00      0.00      0.05
15:28:37          1      0.38      0.00     74.73     20.02      0.00      0.00      4.82      0.00      0.00      0.05
15:44:18        all      0.34      0.00     77.33     19.78      0.00      0.00      2.50      0.00      0.00      0.05
